timestamp,message
2026-05-02 01:14:25,⚠️ [L1-RANGE] oxygen_mV out of range! Value: 1725.0
2026-05-02 01:14:28,⚠️ [L1-RANGE] oxygen_mV out of range! Value: 0.0
2026-05-02 01:14:32,⚠️ [L1-RANGE] main_gas_pressure out of range! Value: 0.0
2026-05-02 01:14:34,⚡ [L2-SPIKE] main_gas_pressure sudden change! Value: 84.15
2026-05-02 01:14:34,⚡ [L2-SPIKE] addition_gas_pressure sudden change! Value: 67.5
2026-05-02 01:14:36,⚡ [L2-SPIKE] main_gas_pressure sudden change! Value: 77.57
2026-05-02 01:14:36,⚠️ [L1-RANGE] oxygen_mV out of range! Value: 0.0
2026-05-02 01:14:36,⚡ [L2-SPIKE] oxygen_mV sudden change! Value: 0.0
2026-05-02 01:14:38,⚡ [L2-SPIKE] main_gas_pressure sudden change! Value: 74.26
2026-05-02 01:14:38,⚡ [L2-SPIKE] oxygen_mV sudden change! Value: 1184.2
2026-05-02 01:14:40,⚡ [L2-SPIKE] main_gas_pressure sudden change! Value: 86.65
2026-05-02 01:14:40,⚡ [L2-SPIKE] oxygen_mV sudden change! Value: 1198.34
2026-05-02 01:14:42,⚡ [L2-SPIKE] main_gas_pressure sudden change! Value: 74.87
2026-05-02 01:14:42,⚠️ [L1-RANGE] oxygen_mV out of range! Value: 1725.0
2026-05-02 01:14:42,⚡ [L2-SPIKE] oxygen_mV sudden change! Value: 1725.0
2026-05-02 01:14:44,⚡ [L2-SPIKE] main_gas_flow sudden change! Value: 26.84
2026-05-02 01:14:46,⚠️ [L1-RANGE] main_gas_flow out of range! Value: 0.0
2026-05-02 01:14:46,⚡ [L2-SPIKE] main_gas_flow sudden change! Value: 0.0
2026-05-02 01:14:46,⚡ [L2-SPIKE] CO_percentage sudden change! Value: 22.6
2026-05-02 01:14:48,⚡ [L2-SPIKE] main_gas_flow sudden change! Value: 25.71
2026-05-02 01:14:50,⚡ [L2-SPIKE] main_gas_flow sudden change! Value: 25.79
2026-05-02 01:14:52,⚡ [L2-SPIKE] main_gas_flow sudden change! Value: 23.23
2026-05-02 01:14:53,⚠️ [L1-RANGE] CO_percentage out of range! Value: 0.0
2026-05-02 01:14:53,⚡ [L2-SPIKE] CO_percentage sudden change! Value: 0.0
2026-05-02 01:14:55,⚡ [L2-SPIKE] CO_percentage sudden change! Value: 21.65
2026-05-02 01:14:57,⚡ [L2-SPIKE] CO_percentage sudden change! Value: 21.67
2026-05-02 01:14:59,⚡ [L2-SPIKE] CO_percentage sudden change! Value: 22.77
2026-05-02 01:15:01,⚡ [L2-SPIKE] addition_gas_flow sudden change! Value: 0.0
2026-05-02 01:15:01,⚡ [L2-SPIKE] CO_percentage sudden change! Value: 21.31
2026-05-02 01:15:03,⚡ [L2-SPIKE] addition_gas_flow sudden change! Value: 326.89
2026-05-02 01:15:03,⚡ [L2-SPIKE] CO_percentage sudden change! Value: 21.35
2026-05-02 01:15:05,⚠️ [L1-RANGE] temperature_zone_1 out of range! Value: 0.0
2026-05-02 01:15:05,⚡ [L2-SPIKE] temperature_zone_1 sudden change! Value: 0.0
2026-05-02 01:15:05,⚡ [L2-SPIKE] addition_gas_flow sudden change! Value: 372.15
2026-05-02 01:15:05,⚡ [L2-SPIKE] CO_percentage sudden change! Value: 17.19
2026-05-02 01:15:07,⚡ [L2-SPIKE] temperature_zone_1 sudden change! Value: 842.29
2026-05-02 01:15:07,⚡ [L2-SPIKE] addition_gas_flow sudden change! Value: 327.42
2026-05-02 01:15:09,⚡ [L2-SPIKE] temperature_zone_1 sudden change! Value: 857.77
2026-05-02 01:15:09,⚠️ [L1-RANGE] main_gas_flow out of range! Value: 36.0
